50.0000 	 5.9868 	 0.0010 	 -49.9985 	 2208.0492 	50.0000 	 0.8956 	 2.4714 	 -6.7818 	 0.2638 
36.0000 	 1.1712 	 10.0000 	 -49.8595 	 838.1222 	36.0000 	 1.7553 	 0.4377 	 -4.3242 	 0.6670 
50.0000 	 5.9868 	 0.0010 	 -49.9985 	 2205.5737 	50.0000 	 0.5680 	 2.8751 	 -5.9039 	 0.2644 
36.0000 	 0.0026 	 7.9611 	 -35.2409 	 1541.4763 	36.0000 	 2.2018 	 1.4245 	 -0.8396 	 0.0664 
50.0000 	 0.0051 	 9.8234 	 -0.0011 	 2118.8037 	50.0000 	 2.6766 	 2.1337 	 -4.3854 	 0.0099 
35.0000 	 1.2045 	 9.9998 	 -49.8594 	 830.2640 	35.0000 	 0.4496 	 0.5189 	 -4.0176 	 0.4353 
49.0000 	 0.1704 	 10.0000 	 -50.0000 	 1553.4395 	49.0000 	 1.5599 	 1.2803 	 -0.8215 	 0.1970 
50.0000 	 0.0027 	 10.0000 	 -50.0000 	 1560.2302 	50.0000 	 2.7152 	 0.4678 	 -0.1413 	 0.3312 
35.0000 	 0.0149 	 7.7441 	 -33.9281 	 1541.6528 	35.0000 	 0.5185 	 2.4257 	 -3.9046 	 0.0604 
21.0000 	 1.4617 	 6.3467 	 -31.5883 	 824.0738 	21.0000 	 2.4915 	 2.0913 	 -2.1654 	 0.0902 
36.0000 	 0.3732 	 1.0432 	 -5.0338 	 1570.0109 	36.0000 	 2.5193 	 2.8069 	 -3.8525 	 0.0350 
21.0000 	 1.6788 	 6.9737 	 -37.1183 	 822.6689 	21.0000 	 2.1823 	 2.3367 	 -0.2308 	 0.1100 
37.0000 	 0.0025 	 10.0000 	 -29.0878 	 1560.5865 	37.0000 	 0.5232 	 2.8816 	 -0.2624 	 0.6437 
20.0000 	 1.3988 	 5.8332 	 -27.8638 	 825.0076 	20.0000 	 0.2657 	 0.8298 	 -4.6765 	 0.0831 
20.0000 	 1.9963 	 7.8303 	 -43.1753 	 821.4398 	20.0000 	 1.3148 	 2.8622 	 -5.5998 	 0.1852 
35.0000 	 0.0071 	 7.7116 	 -34.0364 	 1541.6899 	35.0000 	 0.5569 	 0.3616 	 -2.8514 	 0.2119 
36.0000 	 1.1731 	 10.0000 	 -50.0000 	 838.1297 	36.0000 	 0.9379 	 1.2259 	 -0.5199 	 0.4931 
6.0000 	 3.2914 	 3.2429 	 -8.5186 	 831.4119 	6.0000 	 2.5410 	 2.2299 	 -3.8808 	 0.3166 
6.0000 	 2.2374 	 1.8095 	 -4.6880 	 838.2580 	6.0000 	 1.0464 	 2.4359 	 -5.3910 	 0.2584 
21.0000 	 1.5612 	 6.6054 	 -33.7853 	 823.5511 	21.0000 	 1.2889 	 0.0124 	 -4.3977 	 0.4943 
5.0000 	 3.1754 	 2.1745 	 -5.2482 	 841.3206 	5.0000 	 0.4586 	 1.4452 	 -1.3949 	 0.2881 
34.0000 	 1.2466 	 10.0000 	 -49.6813 	 825.9604 	34.0000 	 2.7870 	 0.1816 	 -1.8956 	 0.2242 
5.0000 	 5.3533 	 4.9625 	 -12.2456 	 835.4980 	5.0000 	 2.9644 	 2.5666 	 -1.3638 	 0.4863 
35.0000 	 0.0103 	 10.0000 	 -29.1465 	 1528.4336 	35.0000 	 1.2223 	 0.3644 	 -2.5089 	 0.5264 
21.0000 	 1.4358 	 6.0494 	 -31.0630 	 824.4782 	21.0000 	 2.8261 	 2.0454 	 -4.8945 	 0.1204 
